mass[GeV]	e_e	mu_mu	tau_tau	nue_nue	numu_numu	nutau_nutau	quarks
0.115	1.0286720937621483e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.116	1.0376170685731339e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.117	1.046562043382028e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.11800000000000001	1.0555070181889188e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.11900000000000001	1.0644519929938896e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.12000000000000001	1.0733969677970197e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.121	1.0823419425983848e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.122	1.091286917398056e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.123	1.1002318921961025e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.124	1.1091768669925888e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.125	1.1181218417875768e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.126	1.1270668165811256e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.127	1.1360117913732913e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.128	1.1449567661641276e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.129	1.1539017409536857e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.13	1.1628467157420142e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.131	1.1717916905291595e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.132	1.1807366653151667e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.133	1.1896816401000775e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.134	1.1986266148839335e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.135	1.2075715896667722e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.136	1.216516564448632e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.137	1.2254615392295473e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.138	1.2344065140095525e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.139	1.2433514887886807e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.14	1.2522964635669623e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.14100000000000001	1.2612414383444268e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.14200000000000002	1.2701864131211035e-09	0.0	0.0	0.0	0.0	0.0	0.0
