mass[GeV]	QCD	chlep	neutrinos	total
0.07200000000000001	0.0	0.0019098592880266937	0.002864788975654116	0.00477464826368081
0.07300000000000001	0.0	0.0019363851130540061	0.00290457771142709	0.004840962824481096
0.074	0.0	0.001962910938018463	0.0029443664472000638	0.004907277385218527
0.075	0.0	0.0019894367629241985	0.002984155182973037	0.004973591945897235
0.076	0.0	0.0020159625877750257	0.003023943918746011	0.005039906506521037
0.077	0.0	0.0020424884125744645	0.003063732654518985	0.00510622106709345
0.078	0.0	0.0020690142373257655	0.003103521390291959	0.005172535627617724
0.079	0.0	0.002095540062031938	0.0031433101260649327	0.005238850188096871
0.08	0.0	0.002122065886695767	0.0031830988618379063	0.005305164748533674
0.081	0.0	0.002148591711319835	0.0032228875976108807	0.005371479308930716
0.082	0.0	0.0021751175359065364	0.0032626763333838543	0.005437793869290391
