mass[GeV]	e_e	mu_mu	tau_tau	neutrinos	piGamma	total
0.7525252525252525	3.2581296201328324e-08	3.5495114210016175e-09	0.0	4.887403156474492e-08	1.5507160272433253e-13	8.500499425867758e-08
0.7717171717171717	3.341229867608188e-08	4.21243050278337e-09	0.0	5.012048337646324e-08	1.8377522396426733e-13	8.774539633055244e-08
0.7909090909090909	3.4243299471801584e-08	4.9169065237474276e-09	0.0	5.136693518818172e-08	2.1602825256377397e-13	9.052735721198328e-08
0.81010101010101	3.507429870780683e-08	5.659108599724652e-09	0.0	5.2613386999900014e-08	2.520811245328543e-13	9.334704638855603e-08
0.8292929292929292	3.5905296492373606e-08	6.435445496493918e-09	0.0	5.385983881161846e-08	2.921961932300629e-13	9.620087299667921e-08
0.8484848484848484	3.6736292923982574e-08	7.242579093747283e-09	0.0	5.5106290623336764e-08	3.3664401254454e-13	9.908549928507916e-08
0.8676767676767676	3.756728809240245e-08	8.077426410833108e-09	0.0	5.635274243505499e-08	3.8570741164310046e-13	1.0199784264570218e-07
0.8868686868686868	3.839828207963285e-08	8.93715411618205e-09	0.0	5.7599194246773256e-08	4.3968688398192385e-13	1.0493507012947213e-07
0.906060606060606	3.9229274960726317e-08	9.819168271353988e-09	0.0	5.8845646058491704e-08	4.988915627925478e-13	1.078945881821348e-07
0.9252525252525252	4.0060266804508957e-08	1.0721101230132747e-08	0.0	6.009209787021017e-08	5.636492410249255e-13	1.108740295540929e-07
0.9444444444444443	4.0891257674213005e-08	1.1640797023163722e-08	0.0	6.133854968192835e-08	6.34307470639228e-13	1.1387123868677572e-07
0.9636363636363635	4.172224762803417e-08	1.257629613938122e-08	0.0	6.258500149364678e-08	7.112309130146431e-13	1.1688425649197518e-07
0.9828282828282827	4.255323671962261e-08	1.3525820317725012e-08	0.0	6.383145330536513e-08	7.948079024685128e-13	1.199113051506152e-07
1.002020202020202	4.338422499851851e-08	1.4487757751634648e-08	0.0	6.507790511708335e-08	8.854453110713922e-13	1.2295077331254756e-07
1.0212121212121212	4.42152125105387e-08	1.5460648959836417e-08	0.0	6.632435692880166e-08	9.835787580574191e-13	1.2600120197793483e-07
1.0404040404040404	4.504619929811943e-08	1.6443173472402e-08	0.0	6.75708087405202e-08	1.0896751656309855e-12	1.2906127118620727e-07
1.0595959595959596	4.5877185400622216e-08	1.7434137408364834e-08	0.0	6.881726055223817e-08	1.2042277866169259e-12	1.3212978758901184e-07
1.0787878787878789	4.6708170854608464e-08	1.8432461971291794e-08	0.0	7.006371236395658e-08	1.327765058737769e-12	1.352056729549156e-07
1.097979797979798	4.753915569408318e-08	1.943717285562078e-08	0.0	7.131016417567502e-08	1.4608507580341367e-12	1.3828795357613703e-07
1.1171717171717173	4.8370139950714654e-08	2.0447390534619694e-08	0.0	7.255661598739343e-08	1.6040930481738635e-12	1.4137575056577595e-07
