mass[GeV]	DM
0.076	0.0018365231058541974
0.077	0.0018606878835628056
0.078	0.0018848526612714135
0.079	0.001909017438980021
0.08	0.0019331822166886287
0.081	0.001957346994397237
0.082	0.0019815117721058454
0.083	0.0020056765498144527
0.084	0.0020298413275230604
0.085	0.002054006105231669
0.08600000000000001	0.0020781708829402763
0.08700000000000001	0.0021023356606488844
0.08800000000000001	0.002126500438357492
0.089	0.002150665216066099
0.09	0.002174829993774708
0.091	0.0021989947714833153
0.092	0.0022231595491919234
0.093	0.002247324326900531
0.094	0.002271489104609139
0.095	0.0022956538823177466
0.096	0.0023198186600263547
0.097	0.002343983437734963
0.098	0.0023681482154435706
0.099	0.0023923129931521787
0.1	0.002416477770860786
0.101	0.002440642548569394
0.10200000000000001	0.0024648073262780023
0.10300000000000001	0.00248897210398661
0.10400000000000001	0.002513136881695218
0.10500000000000001	0.002537301659403826
0.106	0.002561466437112433
0.107	0.0025856312148210413
0.108	0.0026097959925296494
0.109	0.0026339607702382567
0.11	0.002658125547946865
0.111	0.002682290325655472
0.112	0.0027064551033640807
0.113	0.002730619881072689
0.114	0.002754784658781297
0.115	0.0027789494364899043
0.116	0.0028031142141985116
0.117	0.00282727899190712
0.11800000000000001	0.002851443769615728
0.11900000000000001	0.002875608547324336
0.12000000000000001	0.0028997733250329433
0.121	0.002923938102741551
0.122	0.0029481028804501596
0.123	0.002972267658158767
0.124	0.002996432435867375
0.125	0.0030205972135759827
0.126	0.003044761991284591
0.127	0.003068926768993199
0.128	0.0030930915467018067
0.129	0.003117256324410414
0.13	0.003141421102119022
0.131	0.003165585879827629
0.132	0.0031897506575362376
0.133	0.003213915435244845
0.134	0.003238080212953454
0.135	0.0032622449906620616
0.136	0.0032864097683706697
0.137	0.0033105745460792766
0.138	0.003334739323787885
0.139	0.0033589041014964933
0.14	0.003383068879205101
0.14100000000000001	0.003407233656913709
0.14200000000000002	0.0034313984346223173
0.14300000000000002	0.003455563212330925
0.14400000000000002	0.0034797279900395323
0.14500000000000002	0.0035038927677481404
0.146	0.0035280575454567477
0.147	0.0035522223231653554
0.148	0.0035763871008739636
0.149	0.003600551878582572
0.15	0.003624716656291179
0.151	0.003648881433999787
0.152	0.003673046211708395
