mass[GeV]	DM
0.079	0.0016156072280890563
0.08	0.001636057952495247
0.081	0.0016565086769014376
0.082	0.0016769594013076286
0.083	0.0016974101257138186
0.084	0.0017178608501200096
0.085	0.0017383115745261998
0.08600000000000001	0.0017587622989323906
0.08700000000000001	0.0017792130233385815
0.08800000000000001	0.0017996637477447719
0.089	0.0018201144721509625
0.09	0.0018405651965571529
0.091	0.0018610159209633433
0.092	0.001881466645369534
0.093	0.001901917369775725
0.094	0.0019223680941819156
0.095	0.0019428188185881057
0.096	0.0019632695429942964
0.097	0.0019837202674004868
0.098	0.0020041709918066776
0.099	0.0020246217162128684
0.1	0.0020450724406190597
0.101	0.002065523165025249
0.10200000000000001	0.00208597388943144
0.10300000000000001	0.0021064246138376304
0.10400000000000001	0.0021268753382438213
0.10500000000000001	0.0021473260626500117
0.106	0.002167776787056202
0.107	0.0021882275114623925
0.108	0.0022086782358685833
0.109	0.0022291289602747737
0.11	0.0022495796846809645
0.111	0.002270030409087155
0.112	0.0022904811334933457
0.113	0.002310931857899536
0.114	0.002331382582305727
0.115	0.0023518333067119174
0.116	0.002372284031118108
0.117	0.0023927347555242995
0.11800000000000001	0.002413185479930489
0.11900000000000001	0.00243363620433668
0.12000000000000001	0.00245408692874287
0.121	0.0024745376531490606
0.122	0.0024949883775552515
0.123	0.002515439101961442
0.124	0.002535889826367633
0.125	0.0025563405507738235
0.126	0.002576791275180014
0.127	0.0025972419995862047
0.128	0.002617692723992395
0.129	0.002638143448398585
0.13	0.0026585941728047764
0.131	0.002679044897210967
0.132	0.0026994956216171576
0.133	0.0027199463460233484
0.134	0.0027403970704295393
0.135	0.0027608477948357297
0.136	0.00278129851924192
0.137	0.00280174924364811
0.138	0.0028221999680543013
0.139	0.0028426506924604917
0.14	0.002863101416866683
0.14100000000000001	0.002883552141272873
0.14200000000000002	0.0029040028656790637
0.14300000000000002	0.002924453590085254
0.14400000000000002	0.002944904314491445
0.14500000000000002	0.0029653550388976354
0.146	0.0029858057633038253
0.147	0.003006256487710016
0.148	0.0030267072121162066
0.149	0.0030471579365223974
0.15	0.0030676086609285878
0.151	0.0030880593853347786
0.152	0.003108510109740969
0.153	0.0031289608341471607
0.154	0.0031494115585533502
0.155	0.0031698622829595406
0.156	0.0031903130073657315
0.157	0.003210763731771922
0.158	0.0032312144561781127
0.159	0.003251665180584305
0.16	0.003272115904990494
0.161	0.0032925666293966843
0.162	0.003313017353802875
0.163	0.0033334680782090655
0.164	0.0033539188026152572
0.165	0.0033743695270214468
0.166	0.003394820251427637
0.167	0.003415270975833828
0.168	0.0034357217002400193
0.169	0.0034561724246462092
0.17	0.0034766231490523996
0.171	0.0034970738734585905
0.17200000000000001	0.0035175245978647813
0.17300000000000001	0.003537975322270972
0.17400000000000002	0.003558426046677163
0.17500000000000002	0.0035788767710833534
0.17600000000000002	0.0035993274954895437
0.177	0.0036197782198957337
0.178	0.003640228944301925
0.179	0.003660679668708115
0.18	0.0036811303931143058
0.181	0.003701581117520496
0.182	0.0037220318419266866
0.183	0.0037424825663328774
0.184	0.003762933290739068
0.185	0.0037833840151452586
0.186	0.00380383473955145
0.187	0.00382428546395764
0.188	0.003844736188363831
0.189	0.003865186912770021
0.19	0.0038856376371762115
0.191	0.0039060883615824023
0.192	0.003926539085988593
0.193	0.003946989810394783
0.194	0.0039674405348009735
0.195	0.003987891259207164
0.196	0.004008341983613355
0.197	0.004028792708019546
0.198	0.004049243432425737
0.199	0.004069694156831927
0.2	0.004090144881238119
0.201	0.004110595605644309
0.202	0.004131046330050498
0.203	0.00415149705445669
0.20400000000000001	0.00417194777886288
0.20500000000000002	0.004192398503269071
0.20600000000000002	0.004212849227675261
0.20700000000000002	0.004233299952081452
0.20800000000000002	0.0042537506764876425
0.20900000000000002	0.004274201400893833
0.21	0.0042946521253000225
0.211	0.004315102849706214
0.212	0.004335553574112404
0.213	0.004356004298518595
0.214	0.004376455022924785
0.215	0.004396905747330976
