mass[GeV]	2pi	3pi	PiGamma	EtaGamma	EtaOmega	EtaPhi	PhiPi	OmegaPion	EtaPiPi	EtaPrimePiPi	4pi	6pi	KK	KKpi	KKpipi	PhiPiPi	OmPiPi	NNbar	tothad
0.1500254003227542	0	0.0	1.8515807235545304e-10	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.8515807235545304e-10
0.15102864034427113	0	0.0	2.4167340777773415e-10	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.4167340777773415e-10
0.15203188036578807	0	0.0	3.0827166538005386e-10	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	3.0827166538005386e-10
0.15303512038730502	0	0.0	3.85665502163825e-10	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	3.85665502163825e-10
0.15403836040882196	0	0.0	4.745464023523461e-10	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	4.745464023523461e-10
0.1550416004303389	0	0.0	5.755858177212891e-10	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	5.755858177212891e-10
0.15604484045185585	0	0.0	6.894362481631799e-10	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	6.894362481631799e-10
0.1570480804733728	0	0.0	8.167322660238873e-10	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	8.167322660238873e-10
0.15805132049488974	0	0.0	9.580914875214796e-10	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	9.580914875214796e-10
0.15905456051640668	0	0.0	1.1141154943461218e-09	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1141154943461218e-09
0.16005780053792362	0	0.0	1.2853907083427437e-09	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.2853907083427437e-09
0.16106104055944057	0	0.0	1.472489221994866e-09	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.472489221994866e-09
0.1620642805809575	0	0.0	1.6759695872572204e-09	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.6759695872572204e-09
0.16306752060247445	0	0.0	1.8963775651257764e-09	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.8963775651257764e-09
0.1640707606239914	0	0.0	2.1342468381855302e-09	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.1342468381855302e-09
0.16507400064550834	0	0.0	2.390099688238191e-09	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.390099688238191e-09
0.16607724066702528	0	0.0	2.6644476409829413e-09	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.6644476409829413e-09
0.16708048068854223	0	0.0	2.9577920796031135e-09	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.9577920796031135e-09
0.16808372071005917	0	0.0	3.2706248289993706e-09	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	3.2706248289993706e-09
0.1690869607315761	0	0.0	3.603428712304913e-09	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	3.603428712304913e-09
